queries,MAL,TXT_char_count,TXT_char_count_no_spaces,TXT_word_count,TXT_avg_word_length,TXT_sentence_count,TXT_punctuation_count,TXT_special_char_count,TXT_text_density,LING_query_type,LING_tense,LING_modality,LING_has_negation,LING_has_conditional,LING_clause_complexity,LING_verb_noun_ratio,SEM_domain_primary,SEM_domain_secondary,SEM_entity_count,SEM_entity_types,SEM_abstractness,SEM_specificity,SEM_ambiguity,TASK_operation_count,TASK_needs_filtering,TASK_needs_aggregation,TASK_needs_sorting,TASK_external_dependency,TASK_expected_result_count,TEMP_reference_type,TEMP_range_specificity,TEMP_recency_requirement,TEMP_realtime_need,INTENT_urgency_level,INTENT_consequence_severity,INTENT_task_priority,INTENT_emotional_tone,INFO_density_score,INFO_constraint_count,INFO_precision_requirement,INFO_recall_requirement,COMP_search_space_size,COMP_index_complexity,COMP_reasoning_depth,TASK_modality_types,INTENT_priority,TASK_multi_modal,INTENT_satisfaction_criticality,COMP_join_operations_needed
지난해에 여행이 몇 번이나 있었지?,13.163,40,34,12.0,3.33,1,1,0.0,0.3,interrogative,past,none,0,0,1,1,travel,none,1,activity,3,5,5,1,0,0,0,text,0,single,absolute,6,0,0.0,0,0.0,4,1,0.0,none,0.0,none,0.0,0.0,0.0,3.0,0.0,0.0,0.0
올해 상반기에 옷을 몇 번이나 샀지?,19.9251,40,34,12.0,3.33,1,1,0.0,0.3,interrogative,present,none,0,0,1,1,shopping,none,1,financial,3,5,5,1,0,0,0,text,0,single,absolute,6,0,0.0,0,0.0,4,1,0.0,none,0.0,none,0.0,0.0,0.0,3.0,0.0,0.0,0.0
올해 상반기에 신발을 몇 번이나 샀지?,20.4428,40,34,12.0,3.33,1,1,0.0,0.3,interrogative,present,none,0,0,1,1,shopping,none,1,financial,3,5,5,1,0,0,0,text,0,single,absolute,6,0,0.0,0,0.0,4,1,0.0,none,0.0,none,0.0,0.0,0.0,3.0,0.0,0.0,0.0
올해 상반기에 생필품을 몇 번이나 샀지?,28.4905,40,34,12.0,3.33,1,1,0.0,0.3,interrogative,present,none,0,0,1,1,shopping,none,1,financial,3,5,5,1,0,0,0,text,0,single,absolute,6,0,0.0,0,0.0,4,1,0.0,none,0.0,none,0.0,0.0,0.0,3.0,0.0,0.0,0.0
올해 상반기에 화장품을 몇 번이나 샀지?,17.8084,40,34,12.0,3.33,1,1,0.0,0.3,interrogative,present,none,0,0,1,1,shopping,none,1,financial,3,5,5,1,0,0,0,text,0,single,absolute,6,0,0.0,0,0.0,4,1,0.0,none,0.0,none,0.0,0.0,0.0,3.0,0.0,0.0,0.0
지난주에 영어 회화를 몇 시간 했지?,18.2183,40,34,12.0,3.33,1,1,0.0,0.3,interrogative,past,none,0,0,1,1,language,none,1,activity,3,5,5,1,0,0,0,text,0,single,absolute,6,0,0.0,0,0.0,4,1,0.0,none,0.0,none,0.0,0.0,0.0,3.0,0.0,0.0,0.0
지난주에 자격증 공부를 몇 시간 했지?,18.8426,40,34,12.0,3.33,1,1,0.0,0.3,interrogative,past,none,0,0,1,1,study,none,1,activity,3,5,5,1,0,0,0,text,0,single,absolute,6,0,0.0,0,0.0,4,1,0.0,none,0.0,none,0.0,0.0,0.0,3.0,0.0,0.0,0.0
지난주에 독서를 몇 시간 했지?,16.7158,40,34,12.0,3.33,1,1,0.0,0.3,interrogative,past,none,0,0,1,1,reading,none,1,activity,3,5,5,1,0,0,0,text,0,single,absolute,6,0,0.0,0,0.0,4,1,0.0,none,0.0,none,0.0,0.0,0.0,3.0,0.0,0.0,0.0
지난주에 오프라인 합주를 몇 시간 했지?,21.5635,40,34,12.0,3.33,1,1,0.0,0.3,interrogative,past,none,0,0,1,1,music,none,1,activity,3,5,5,1,0,0,0,text,0,single,absolute,6,0,0.0,0,0.0,4,1,0.0,none,0.0,none,0.0,0.0,0.0,3.0,0.0,0.0,0.0
올해 캠핑을 몇 번이나 갔지?,15.08,30,25,9.0,3.33,1,1,0.0,0.3,interrogative,present,none,0,0,1,1,outdoor,none,1,activity,2,5,5,1,0,0,0,text,0,single,absolute,5,0,0.0,0,0.0,4,1,0.0,none,0.0,none,0.0,0.0,0.0,3.0,0.0,0.0,0.0
올해 나들이를 몇 번이나 갔지?,26.4506,30,25,9.0,3.33,1,1,0.0,0.3,interrogative,present,none,0,0,1,1,outdoor,none,1,activity,2,5,5,1,0,0,0,text,0,single,absolute,5,0,0.0,0,0.0,4,1,0.0,none,0.0,none,0.0,0.0,0.0,3.0,0.0,0.0,0.0
올해 산책을 몇 번이나 갔지?,14.2559,30,25,9.0,3.33,1,1,0.0,0.3,interrogative,present,none,0,0,1,1,outdoor,none,1,activity,2,5,5,1,0,0,0,text,0,single,absolute,5,0,0.0,0,0.0,4,1,0.0,none,0.0,none,0.0,0.0,0.0,3.0,0.0,0.0,0.0
올해 여행을 몇 번이나 갔지?,16.9997,30,25,9.0,3.33,1,1,0.0,0.3,interrogative,present,none,0,0,1,1,travel,none,1,activity,2,5,5,1,0,0,0,text,0,single,absolute,5,0,0.0,0,0.0,4,1,0.0,none,0.0,none,0.0,0.0,0.0,3.0,0.0,0.0,0.0
이번 달에 배달 음식을 몇 번 먹었지?,12.1014,40,34,12.0,3.33,1,1,0.0,0.3,interrogative,present,none,0,0,1,1,food,none,1,activity,3,5,5,1,0,0,0,text,0,single,absolute,6,0,0.0,0,0.0,4,1,0.0,none,0.0,none,0.0,0.0,0.0,3.0,0.0,0.0,0.0
이번 달에 외식을 몇 번 먹었지?,25.2473,40,34,12.0,3.33,1,1,0.0,0.3,interrogative,present,none,0,0,1,1,food,none,1,activity,3,5,5,1,0,0,0,text,0,single,absolute,6,0,0.0,0,0.0,4,1,0.0,none,0.0,none,0.0,0.0,0.0,3.0,0.0,0.0,0.0
이번 달에 카페를 몇 번 먹었지?,17.5864,40,34,12.0,3.33,1,1,0.0,0.3,interrogative,present,none,0,0,1,1,food,none,1,activity,3,5,5,1,0,0,0,text,0,single,absolute,6,0,0.0,0,0.0,4,1,0.0,none,0.0,none,0.0,0.0,0.0,3.0,0.0,0.0,0.0
이번 달에 편의점에서 몇 번 먹었지?,20.9935,40,34,12.0,3.33,1,1,0.0,0.3,interrogative,present,none,0,0,1,1,food,none,1,activity,3,5,5,1,0,0,0,text,0,single,absolute,6,0,0.0,0,0.0,4,1,0.0,none,0.0,none,0.0,0.0,0.0,3.0,0.0,0.0,0.0
지난달과 비교했을 때 이번 달 운동량이 얼마나 늘었지?,23.8735,66,56,20.0,3.3,1,0,0.0,0.34,interrogative,present,none,0,0,1,1,exercise,none,1,activity,4,5,5,1,0,0,0,text,0,single,absolute,7,0,0.0,0,0.0,4,2,0.0,none,0.0,none,0.0,0.0,0.0,3.0,0.0,0.0,0.0
지난달과 비교했을 때 이번 달 걸음 수가 얼마나 늘었지?,12.2085,66,56,20.0,3.3,1,0,0.0,0.34,interrogative,present,none,0,0,1,1,exercise,none,1,activity,4,5,5,1,0,0,0,text,0,single,absolute,7,0,0.0,0,0.0,4,2,0.0,none,0.0,none,0.0,0.0,0.0,3.0,0.0,0.0,0.0
지난달과 비교했을 때 이번 달 칼로리 소모가 얼마나 늘었지?,14.8955,66,56,20.0,3.3,1,0,0.0,0.34,interrogative,present,none,0,0,1,1,exercise,none,1,activity,4,5,5,1,0,0,0,text,0,single,absolute,7,0,0.0,0,0.0,4,2,0.0,none,0.0,none,0.0,0.0,0.0,3.0,0.0,0.0,0.0
지난달과 비교했을 때 이번 달 활동 시간이 얼마나 늘었지?,24.6488,66,56,20.0,3.3,1,0,0.0,0.34,interrogative,present,none,0,0,1,1,exercise,none,1,activity,4,5,5,1,0,0,0,text,0,single,absolute,7,0,0.0,0,0.0,4,2,0.0,none,0.0,none,0.0,0.0,0.0,3.0,0.0,0.0,0.0
작년과 비교했을 때 올해 카드 결제액이 얼마나 늘었지?,25.3443,47,39,12.0,3.92,1,4,0.0,1.06,interrogative,present,should,0,0,1,1,finance,none,1,person,3,7,2,5,1,1,0,0,1,1,0,1,0,0.0,1,0.0,2,0,1.0,0,0.0,medium,1.0,1.0,0.0,0.0,0.0,0.0,0.0
작년과 비교했을 때 올해 여가 비용이 얼마나 늘었지?,20.8705,47,39,12.0,3.92,1,4,0.0,1.06,interrogative,present,should,0,0,1,1,finance,none,1,person,3,7,2,5,1,1,0,0,1,1,0,1,0,0.0,1,0.0,2,0,1.0,0,0.0,medium,1.0,1.0,0.0,0.0,0.0,0.0,0.0
작년과 비교했을 때 올해 고정 지출이 얼마나 늘었지?,23.7459,47,39,12.0,3.92,1,4,0.0,1.06,interrogative,present,should,0,0,1,1,finance,none,1,person,3,7,2,5,1,1,0,0,1,1,0,1,0,0.0,1,0.0,2,0,1.0,0,0.0,medium,1.0,1.0,0.0,0.0,0.0,0.0,0.0
작년과 비교했을 때 올해 생활비가 얼마나 늘었지?,24.2751,47,39,12.0,3.92,1,4,0.0,1.06,interrogative,present,should,0,0,1,1,finance,none,1,person,3,7,2,5,1,1,0,0,1,1,0,1,0,0.0,1,0.0,2,0,1.0,0,0.0,medium,1.0,1.0,0.0,0.0,0.0,0.0,0.0
올해 가장 많이 들었던 음악 순서대로 알려줘,25.2008,38,32,10.0,3.8,1,2,0.0,1.0,interrogative,present,should,0,0,1,1,entertainment,none,1,person,3,7,2,5,1,1,0,0,1,1,0,1,0,0.0,1,0.0,2,0,1.0,0,0.0,medium,1.0,1.0,0.0,0.0,0.0,0.0,0.0
올해 가장 많이 시청했던 유튜브 채널 순서대로 알려줘,20.1194,47,39,12.0,3.92,1,4,0.0,1.06,interrogative,present,should,0,0,1,1,entertainment,none,1,person,3,7,2,5,1,1,0,0,1,1,0,1,0,0.0,1,0.0,2,0,1.0,0,0.0,medium,1.0,1.0,0.0,0.0,0.0,0.0,0.0
올해 가장 많이 플레이한 게임 순서대로 알려줘,33.9973,47,39,12.0,3.92,1,4,0.0,1.06,interrogative,present,should,0,0,1,1,entertainment,none,1,person,3,7,2,5,1,1,0,0,1,1,0,1,0,0.0,1,0.0,2,0,1.0,0,0.0,medium,1.0,1.0,0.0,0.0,0.0,0.0,0.0
올해 가장 많이 본 드라마 순서대로 알려줘,12.8249,47,39,12.0,3.92,1,4,0.0,1.06,interrogative,present,should,0,0,1,1,entertainment,none,1,person,3,7,2,5,1,1,0,0,1,1,0,1,0,0.0,1,0.0,2,0,1.0,0,0.0,medium,1.0,1.0,0.0,0.0,0.0,0.0,0.0
지난달에 성진이랑 통화한 횟수 이번달과 비교해줘,19.2887,47,39,12.0,3.92,1,4,0.0,1.06,interrogative,present,should,0,0,1,1,communication,none,1,person,3,7,2,5,1,1,0,0,1,1,0,1,0,0.0,1,0.0,2,0,1.0,0,0.0,medium,1.0,1.0,0.0,0.0,0.0,0.0,0.0
지난달에 성진이랑 메시지 교환 횟수 이번달과 비교해줘,21.6109,47,39,12.0,3.92,1,4,0.0,1.06,interrogative,present,should,0,0,1,1,communication,none,1,person,3,7,2,5,1,1,0,0,1,1,0,1,0,0.0,1,0.0,2,0,1.0,0,0.0,medium,1.0,1.0,0.0,0.0,0.0,0.0,0.0
지난달에 성진이랑 만난 횟수 이번달과 비교해줘,20.2698,47,39,12.0,3.92,1,4,0.0,1.06,interrogative,present,should,0,0,1,1,communication,none,1,person,3,7,2,5,1,1,0,0,1,1,0,1,0,0.0,1,0.0,2,0,1.0,0,0.0,medium,1.0,1.0,0.0,0.0,0.0,0.0,0.0
지난달에 성진이랑 영상통화 횟수 이번달과 비교해줘,14.0343,47,39,12.0,3.92,1,4,0.0,1.06,interrogative,present,should,0,0,1,1,communication,none,1,person,3,7,2,5,1,1,0,0,1,1,0,1,0,0.0,1,0.0,2,0,1.0,0,0.0,medium,1.0,1.0,0.0,0.0,0.0,0.0,0.0
온라인 쇼핑과 오프라인 쇼핑 결제 금액 비교해줘,32.1986,47,39,12.0,3.92,1,4,0.0,1.06,interrogative,present,should,0,0,1,1,finance,none,1,person,3,7,2,5,1,1,0,0,1,1,0,1,0,0.0,1,0.0,2,0,1.0,0,0.0,medium,1.0,1.0,0.0,0.0,0.0,0.0,0.0
카드 결제와 현금 결제 금액 비교해줘,26.7424,47,39,12.0,3.92,1,4,0.0,1.06,interrogative,present,should,0,0,1,1,finance,none,1,person,3,7,2,5,1,1,0,0,1,1,0,1,0,0.0,1,0.0,2,0,1.0,0,0.0,medium,1.0,1.0,0.0,0.0,0.0,0.0,0.0
이번 달과 지난달 결제 금액 비교해줘,21.2016,47,39,12.0,3.92,1,4,0.0,1.06,interrogative,present,should,0,0,1,1,finance,none,1,person,3,7,2,5,1,1,0,0,1,1,0,1,0,0.0,1,0.0,2,0,1.0,0,0.0,medium,1.0,1.0,0.0,0.0,0.0,0.0,0.0
평일과 주말 결제 금액 비교해줘,30.0478,47,39,12.0,3.92,1,4,0.0,1.06,interrogative,present,should,0,0,1,1,finance,none,1,person,3,7,2,5,1,1,0,0,1,1,0,1,0,0.0,1,0.0,2,0,1.0,0,0.0,medium,1.0,1.0,0.0,0.0,0.0,0.0,0.0
이번 달이랑 지난달 근무 시간을 비교해줘,31.5749,47,39,12.0,3.92,1,4,0.0,1.06,interrogative,present,should,0,0,1,1,work,none,1,person,3,7,2,5,1,1,0,0,1,1,0,1,0,0.0,1,0.0,2,0,1.0,0,0.0,medium,1.0,1.0,0.0,0.0,0.0,0.0,0.0
이번 달이랑 지난달 회의 시간을 비교해줘,17.9169,47,39,12.0,3.92,1,4,0.0,1.06,interrogative,present,should,0,0,1,1,work,none,1,person,3,7,2,5,1,1,0,0,1,1,0,1,0,0.0,1,0.0,2,0,1.0,0,0.0,medium,1.0,1.0,0.0,0.0,0.0,0.0,0.0
이번 달이랑 지난달 학습 시간을 비교해줘,21.2882,47,39,12.0,3.92,1,4,0.0,1.06,interrogative,present,should,0,0,1,1,work,none,1,person,3,7,2,5,1,1,0,0,1,1,0,1,0,0.0,1,0.0,2,0,1.0,0,0.0,medium,1.0,1.0,0.0,0.0,0.0,0.0,0.0
이번 달이랑 지난달 작업 시간을 비교해줘,21.7818,47,39,12.0,3.92,1,4,0.0,1.06,interrogative,present,should,0,0,1,1,work,none,1,person,3,7,2,5,1,1,0,0,1,1,0,1,0,0.0,1,0.0,2,0,1.0,0,0.0,medium,1.0,1.0,0.0,0.0,0.0,0.0,0.0
여행 갔을 때 평소보다 평균 걸음 수가 얼마나 늘었지?,17.8381,47,39,12.0,3.92,1,4,0.0,1.06,interrogative,present,should,0,0,1,1,travel,none,1,person,3,7,2,5,1,1,0,0,1,1,0,1,0,0.0,1,0.0,2,0,1.0,0,0.0,medium,1.0,1.0,0.0,0.0,0.0,0.0,0.0
여행 갔을 때 평소보다 활동량이 얼마나 늘었지?,27.7023,47,39,12.0,3.92,1,4,0.0,1.06,interrogative,present,should,0,0,1,1,travel,none,1,person,3,7,2,5,1,1,0,0,1,1,0,1,0,0.0,1,0.0,2,0,1.0,0,0.0,medium,1.0,1.0,0.0,0.0,0.0,0.0,0.0
여행 갔을 때 평소보다 이동 거리가 얼마나 늘었지?,22.2324,47,39,12.0,3.92,1,4,0.0,1.06,interrogative,present,should,0,0,1,1,travel,none,1,person,3,7,2,5,1,1,0,0,1,1,0,1,0,0.0,1,0.0,2,0,1.0,0,0.0,medium,1.0,1.0,0.0,0.0,0.0,0.0,0.0
여행 갔을 때 평소보다 칼로리 소모가 얼마나 늘었지?,29.7746,47,39,12.0,3.92,1,4,0.0,1.06,interrogative,present,should,0,0,1,1,travel,none,1,person,3,7,2,5,1,1,0,0,1,1,0,1,0,0.0,1,0.0,2,0,1.0,0,0.0,medium,1.0,1.0,0.0,0.0,0.0,0.0,0.0
지난달에 집에서 보낸 시간과 밖에서 보낸 시간 비교해줘,36.7562,47,39,12.0,3.92,1,4,0.0,1.06,interrogative,present,should,0,0,1,1,lifestyle,none,1,person,3,7,2,5,1,1,0,0,1,1,0,1,0,0.0,1,0.0,2,0,1.0,0,0.0,medium,1.0,1.0,0.0,0.0,0.0,0.0,0.0
지난달에 근무 시간과 여가 시간 비교해줘,21.8848,47,39,12.0,3.92,1,4,0.0,1.06,interrogative,present,should,0,0,1,1,lifestyle,none,1,person,3,7,2,5,1,1,0,0,1,1,0,1,0,0.0,1,0.0,2,0,1.0,0,0.0,medium,1.0,1.0,0.0,0.0,0.0,0.0,0.0
지난달과 이번달 취미생활하는데 쓴 시간 비교해줘,27.537,47,39,12.0,3.92,1,4,0.0,1.06,interrogative,present,should,0,0,1,1,lifestyle,none,1,person,3,7,2,5,1,1,0,0,1,1,0,1,0,0.0,1,0.0,2,0,1.0,0,0.0,medium,1.0,1.0,0.0,0.0,0.0,0.0,0.0
지난달과 이번달에 가장 많이 먹은 음식 비교해줘,36.4351,47,39,12.0,3.92,1,4,0.0,1.06,interrogative,present,should,0,0,1,1,lifestyle,none,1,person,3,7,2,5,1,1,0,0,1,1,0,1,0,0.0,1,0.0,2,0,1.0,0,0.0,medium,1.0,1.0,0.0,0.0,0.0,0.0,0.0
이번 주 요일 별 칼로리 소모량을 순서대로 알려줘,11.356,47,39,12.0,3.92,1,4,0.0,1.06,interrogative,present,should,0,0,1,1,lifestyle,none,1,person,3,7,2,5,1,1,0,0,1,1,0,1,0,0.0,1,0.0,2,0,1.0,0,0.0,medium,1.0,1.0,0.0,0.0,0.0,0.0,0.0
이번 주 날짜 별 칼로리 소모량을 순서대로 알려줘,20.8111,47,39,12.0,3.92,1,4,0.0,1.06,interrogative,present,should,0,0,1,1,lifestyle,none,1,person,3,7,2,5,1,1,0,0,1,1,0,1,0,0.0,1,0.0,2,0,1.0,0,0.0,medium,1.0,1.0,0.0,0.0,0.0,0.0,0.0
이번 주 시간 별 칼로리 소모량을 순서대로 알려줘,23.7308,47,39,12.0,3.92,1,4,0.0,1.06,interrogative,present,should,0,0,1,1,lifestyle,none,1,person,3,7,2,5,1,1,0,0,1,1,0,1,0,0.0,1,0.0,2,0,1.0,0,0.0,medium,1.0,1.0,0.0,0.0,0.0,0.0,0.0
이번 주 활동 별 칼로리 소모량을 순서대로 알려줘,32.4589,47,39,12.0,3.92,1,4,0.0,1.06,interrogative,present,should,0,0,1,1,lifestyle,none,1,person,3,7,2,5,1,1,0,0,1,1,0,1,0,0.0,1,0.0,2,0,1.0,0,0.0,medium,1.0,1.0,0.0,0.0,0.0,0.0,0.0
지난달 카드 결제 내역을 정리해서 가계부로 작성해줘,30.0569,47,39,12.0,3.92,1,4,0.0,1.06,interrogative,present,should,0,0,1,1,finance,none,1,person,3,7,2,5,1,1,0,0,1,1,0,1,0,0.0,1,0.0,2,0,1.0,0,0.0,medium,1.0,1.0,0.0,0.0,0.0,0.0,0.0
지난달 관리비 내역을 정리해서 가계부로 작성해줘,19.4243,47,39,12.0,3.92,1,4,0.0,1.06,interrogative,present,should,0,0,1,1,finance,none,1,person,3,7,2,5,1,1,0,0,1,1,0,1,0,0.0,1,0.0,2,0,1.0,0,0.0,medium,1.0,1.0,0.0,0.0,0.0,0.0,0.0
지난달 저축 금액 내역을 정리해서 가계부로 작성해줘,34.3083,47,39,12.0,3.92,1,4,0.0,1.06,interrogative,present,should,0,0,1,1,finance,none,1,person,3,7,2,5,1,1,0,0,1,1,0,1,0,0.0,1,0.0,2,0,1.0,0,0.0,medium,1.0,1.0,0.0,0.0,0.0,0.0,0.0
지난달 용돈 내역을 정리해서 가계부로 작성해줘,26.1903,47,39,12.0,3.92,1,4,0.0,1.06,interrogative,present,should,0,0,1,1,finance,none,1,person,3,7,2,5,1,1,0,0,1,1,0,1,0,0.0,1,0.0,2,0,1.0,0,0.0,medium,1.0,1.0,0.0,0.0,0.0,0.0,0.0
작년 이맘때쯤 자주 들었던 음악 리스트 만들어줘,18.1467,47,39,12.0,3.92,1,4,0.0,1.06,interrogative,present,should,0,0,1,1,entertainment,none,1,person,3,7,2,5,1,1,0,0,1,1,0,1,0,0.0,1,0.0,2,0,1.0,0,0.0,medium,1.0,1.0,0.0,0.0,0.0,0.0,0.0
작년 이맘때쯤 자주 시청한 영상 리스트 만들어줘,32.5002,47,39,12.0,3.92,1,4,0.0,1.06,interrogative,present,should,0,0,1,1,entertainment,none,1,person,3,7,2,5,1,1,0,0,1,1,0,1,0,0.0,1,0.0,2,0,1.0,0,0.0,medium,1.0,1.0,0.0,0.0,0.0,0.0,0.0
작년 이맘때쯤 자주 플레이한 게임 리스트 만들어줘,17.6907,47,39,12.0,3.92,1,4,0.0,1.06,interrogative,present,should,0,0,1,1,entertainment,none,1,person,3,7,2,5,1,1,0,0,1,1,0,1,0,0.0,1,0.0,2,0,1.0,0,0.0,medium,1.0,1.0,0.0,0.0,0.0,0.0,0.0
작년 이맘때쯤 자주 읽은 책 리스트 만들어줘,20.6366,47,39,12.0,3.92,1,4,0.0,1.06,interrogative,present,should,0,0,1,1,entertainment,none,1,person,3,7,2,5,1,1,0,0,1,1,0,1,0,0.0,1,0.0,2,0,1.0,0,0.0,medium,1.0,1.0,0.0,0.0,0.0,0.0,0.0
어제 친구들과 단체 메신저 방에서 나눈 대화 내용을 요약해줘,21.3406,47,39,12.0,3.92,1,4,0.0,1.06,interrogative,present,should,0,0,1,1,communication,none,1,person,3,7,2,5,1,1,0,0,1,1,0,1,0,0.0,1,0.0,2,0,1.0,0,0.0,medium,1.0,1.0,0.0,0.0,0.0,0.0,0.0
어제 가족들과 단체 메신저 방에서 나눈 대화 내용을 요약해줘,18.0877,47,39,12.0,3.92,1,4,0.0,1.06,interrogative,present,should,0,0,1,1,communication,none,1,person,3,7,2,5,1,1,0,0,1,1,0,1,0,0.0,1,0.0,2,0,1.0,0,0.0,medium,1.0,1.0,0.0,0.0,0.0,0.0,0.0
어제 팀원들과 단체 메신저 방에서 나눈 대화 내용을 요약해줘,24.9038,47,39,12.0,3.92,1,4,0.0,1.06,interrogative,present,should,0,0,1,1,communication,none,1,person,3,7,2,5,1,1,0,0,1,1,0,1,0,0.0,1,0.0,2,0,1.0,0,0.0,medium,1.0,1.0,0.0,0.0,0.0,0.0,0.0
어제 동료들과 단체 메신저 방에서 나눈 대화 내용을 요약해줘,21.806,47,39,12.0,3.92,1,4,0.0,1.06,interrogative,present,should,0,0,1,1,communication,none,1,person,3,7,2,5,1,1,0,0,1,1,0,1,0,0.0,1,0.0,2,0,1.0,0,0.0,medium,1.0,1.0,0.0,0.0,0.0,0.0,0.0
이번주 마트에서 사야하는 물건 찍어둔 것 다 모아서 쇼핑리스트 만들어줘,22.965,47,39,12.0,3.92,1,4,0.0,1.06,interrogative,present,should,0,0,1,1,shopping,none,1,person,3,7,2,5,1,1,0,0,1,1,0,1,0,0.0,1,0.0,2,0,1.0,0,0.0,medium,1.0,1.0,0.0,0.0,0.0,0.0,0.0
이번주 다이소에서 사야하는 물건 찍어둔 것 다 모아서 쇼핑리스트 만들어줘,35.0526,47,39,12.0,3.92,1,4,0.0,1.06,interrogative,present,should,0,0,1,1,shopping,none,1,person,3,7,2,5,1,1,0,0,1,1,0,1,0,0.0,1,0.0,2,0,1.0,0,0.0,medium,1.0,1.0,0.0,0.0,0.0,0.0,0.0
이번주 올리브영에서 사야하는 물건 찍어둔 것 다 모아서 쇼핑리스트 만들어줘,21.6875,47,39,12.0,3.92,1,4,0.0,1.06,interrogative,present,should,0,0,1,1,shopping,none,1,person,3,7,2,5,1,1,0,0,1,1,0,1,0,0.0,1,0.0,2,0,1.0,0,0.0,medium,1.0,1.0,0.0,0.0,0.0,0.0,0.0
이번주 편의점에서 사야하는 물건 찍어둔 것 다 모아서 쇼핑리스트 만들어줘,21.0415,47,39,12.0,3.92,1,4,0.0,1.06,interrogative,present,should,0,0,1,1,shopping,none,1,person,3,7,2,5,1,1,0,0,1,1,0,1,0,0.0,1,0.0,2,0,1.0,0,0.0,medium,1.0,1.0,0.0,0.0,0.0,0.0,0.0
지난달에 정리한 강의노트를 한 장으로 요약 정리해줘,26.5597,47,39,12.0,3.92,1,4,0.0,1.06,interrogative,present,should,0,0,1,1,education,none,1,person,3,7,2,5,1,1,0,0,1,1,0,1,0,0.0,1,0.0,2,0,1.0,0,0.0,medium,1.0,1.0,0.0,0.0,0.0,0.0,0.0
지난달에 작성한 업무노트를 한 장으로 요약 정리해줘,32.4549,47,39,12.0,3.92,1,4,0.0,1.06,interrogative,present,should,0,0,1,1,education,none,1,person,3,7,2,5,1,1,0,0,1,1,0,1,0,0.0,1,0.0,2,0,1.0,0,0.0,medium,1.0,1.0,0.0,0.0,0.0,0.0,0.0
지난달에 녹음한 회의록을 한 장으로 요약 정리해줘,46.0703,42,34,15.0,2.8,1,3,0.0,0.3571,declarative,past,must,0,0,1,0,summary,none,0,none,5,8,3,1,0,0,0,0,0,0,absolute,5,0,0.0,5,3.0,4,3,1.0,2,0.0,2,2.0,0.0,0.0,0.0,0.0,4.0,0.0
지난달에 촬영한 메모를 한 장으로 요약 정리해줘,40.983,41,34,15.0,2.73,1,3,0.0,0.3659,declarative,past,must,0,0,1,0,summary,none,0,none,5,8,3,1,0,0,0,0,0,0,absolute,5,0,0.0,5,3.0,4,3,1.0,2,0.0,2,2.0,0.0,0.0,0.0,0.0,4.0,0.0
스페인 여행에서 내가 갔던 곳 모두 정리해서 알려줘,27.994,41,34,15.0,2.73,1,3,0.0,0.3659,declarative,past,must,0,0,1,0,travel,none,0,none,5,8,3,1,0,0,0,0,0,0,absolute,5,0,0.0,5,3.0,4,3,1.0,2,0.0,2,2.0,0.0,0.0,0.0,0.0,4.0,0.0
여름휴가 동안 내가 갔던 곳 모두 정리해서 알려줘,23.1966,43,36,15.0,2.87,1,3,0.0,0.3721,declarative,past,must,0,0,1,0,travel,none,0,none,5,8,3,1,0,0,0,0,0,0,absolute,5,0,0.0,5,3.0,4,3,1.0,2,0.0,2,2.0,0.0,0.0,0.0,0.0,4.0,0.0
지난 주말에 내가 갔던 곳 모두 정리해서 알려줘,19.0671,37,30,15.0,2.47,1,3,0.0,0.5135,declarative,past,must,0,0,1,0,travel,none,0,none,5,8,3,1,0,0,0,0,0,0,absolute,5,0,0.0,5,3.0,4,3,1.0,2,0.0,2,2.0,0.0,0.0,0.0,0.0,4.0,0.0
가족 여행으로 내가 갔던 곳 모두 정리해서 알려줘,48.7953,42,35,15.0,2.8,1,3,0.0,0.3571,declarative,past,must,0,0,1,0,travel,none,0,none,5,8,3,1,0,0,0,0,0,0,absolute,5,0,0.0,5,3.0,4,3,1.0,2,0.0,2,2.0,0.0,0.0,0.0,0.0,4.0,0.0
가족 단체 사진만 모두 모아서 영상으로 만들어줘,81.7913,44,37,15.0,2.93,1,3,0.0,0.4,imperative,present,must,0,0,1,0,media,none,0,none,5,8,3,1,0,0,0,0,0,0,absolute,5,0,0.0,5,3.0,4,3,1.0,2,0.0,2,2.0,0.0,0.0,0.0,0.0,4.0,0.0
반려동물 사진만 모두 모아서 영상으로 만들어줘,50.5136,45,38,15.0,2.93,1,3,0.0,0.4,imperative,present,must,0,0,1,0,media,none,0,none,5,8,3,1,0,0,0,0,0,0,absolute,5,0,0.0,5,3.0,4,3,1.0,2,0.0,2,2.0,0.0,0.0,0.0,0.0,4.0,0.0
내 증명 사진만 모두 모아서 영상으로 만들어줘,66.8085,44,37,15.0,2.93,1,3,0.0,0.4,imperative,present,must,0,0,1,0,media,none,0,none,5,8,3,1,0,0,0,0,0,0,absolute,5,0,0.0,5,3.0,4,3,1.0,2,0.0,2,2.0,0.0,0.0,0.0,0.0,4.0,0.0
친구들과 사진만 모두 모아서 영상으로 만들어줘,91.1981,44,37,15.0,2.93,1,3,0.0,0.4,imperative,present,must,0,0,1,0,media,none,0,none,5,8,3,1,0,0,0,0,0,0,absolute,5,0,0.0,5,3.0,4,3,1.0,2,0.0,2,2.0,0.0,0.0,0.0,0.0,4.0,0.0
